,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,display_time,id,total_points
10,reminder-none,,reminder,53.0,2530552.0,0.0-44.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['ENTRANCE', 'ANTELOPE', 'WOLF', 'BEAR', 'RABBIT', 'ATTIC', 'FALCON', 'PIGEON', 'BATTLESHIP', 'STEAMBOAT', 'KITCHEN', 'FERRY', 'PEACOCK', 'BATHROOM', 'YACHT', 'PENGUIN']",0.0,False,[],,,categorized_16_9,,0.0,,
11,text-recall,,text-recall,56.0,2924153.0,0.0-47.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['RAT', 'MANION', 'CLARINET', 'BUFFALO', 'MOUSE', 'KEYBOARD', 'HTEL', 'BOXERS', 'MOOSE', 'SLIP', 'HOTEL', 'BANJO', 'HUT', 'COAT']","['RAT', 'MANSION', 'CLARINET', 'BUFFALO', 'MOUSE', 'KEYBOARD', 'BOXERS', 'MOOSE', 'SLIP', 'HOTEL', 'BANJO', 'HUT', 'COAT']","['ROBE', 'DORMITORY', 'VIOLA']","['RAT', 'MANSION', 'CLARINET', 'BUFFALO', 'MOUSE', 'KEYBOARD', 'ROBE', 'SLIP', 'HOTEL', 'MOOSE', 'BOXERS', 'BANJO', 'HUT', 'COAT', 'DORMITORY', 'VIOLA']",13.0,False,"[10616, 6417, 6839, 7593, 4088, 7871, 7756, 5104, 3792, 4616, 2304, 6496, 3072, 6593]",True,90000.0,categorized_16_3,,,,
12,reminder-none,,reminder,57.0,2925177.0,0.0-48.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['RAT', 'MANSION', 'CLARINET', 'BUFFALO', 'MOUSE', 'KEYBOARD', 'ROBE', 'SLIP', 'HOTEL', 'MOOSE', 'BOXERS', 'BANJO', 'HUT', 'COAT', 'DORMITORY', 'VIOLA']",0.0,False,[],,,categorized_16_3,,0.0,,
13,text-recall,,text-recall,60.0,3441886.0,0.0-51.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['ELM', 'HARP', 'FIR', 'BULLETIN', 'EDITORIAL', 'EVERGREEN', 'HARMONICA', 'NOVEL', 'BOXING', 'ACCORDIAN', 'ACCORDION', 'MAPLE', 'HANDBALL', 'FIDDLE']","['ELM', 'HARP', 'FIR', 'BULLETIN', 'EDITORIAL', 'EVERGREEN', 'HARMONICA', 'NOVEL', 'BOXING', 'ACCORDION', 'MAPLE', 'HANDBALL', 'FIDDLE']","['BOWLING', 'SOFTBALL', 'JOURNAL']","['ELM', 'HARP', 'FIR', 'BULLETIN', 'EDITORIAL', 'EVERGREEN', 'HARMONICA', 'NOVEL', 'BOXING', 'ACCORDION', 'MAPLE', 'HANDBALL', 'FIDDLE', 'BOWLING', 'SOFTBALL', 'JOURNAL']",13.0,False,"[7047, 12040, 2591, 7072, 7105, 6823, 6601, 5192, 4904, 7015, 7553, 4039, 5010, 5006]",True,90000.0,categorized_16_2,,,,
14,reminder-none,,reminder,61.0,3442897.0,0.0-52.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['ELM', 'HARP', 'FIR', 'BULLETIN', 'EDITORIAL', 'EVERGREEN', 'HARMONICA', 'NOVEL', 'BOXING', 'ACCORDION', 'MAPLE', 'HANDBALL', 'FIDDLE', 'BOWLING', 'SOFTBALL', 'JOURNAL']",0.0,False,[],,,categorized_16_2,,0.0,,
15,text-recall,,text-recall,64.0,3841910.0,0.0-55.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,True,"['CANARY', 'BOLT', 'GLACIER', 'WATERFALL', 'SWAN', 'DEER', 'AXE', 'GOAT', 'TIGER', 'TURTLE', 'RULER', 'OWL', 'DRILL', 'OCEAN', 'DUCK', 'SEA']","['CANARY', 'BOLT', 'GLACIER', 'WATERFALL', 'SWAN', 'DEER', 'AXE', 'GOAT', 'TIGER', 'TURTLE', 'RULER', 'OWL', 'DRILL', 'OCEAN', 'DUCK', 'SEA']",[],"['CANARY', 'BOLT', 'GLACIER', 'WATERFALL', 'SWAN', 'DEER', 'AXE', 'GOAT', 'TIGER', 'TURTLE', 'RULER', 'OWL', 'DRILL', 'OCEAN', 'SEA', 'DUCK']",16.0,False,"[11468, 5953, 7119, 5369, 4271, 3665, 3344, 5192, 4647, 4456, 4961, 3175, 5537, 4271, 7033, 5320]",True,90000.0,categorized_16_5,,,,
16,reminder-none,,reminder,65.0,3842924.0,0.0-56.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,True,[],[],[],"['CANARY', 'BOLT', 'GLACIER', 'WATERFALL', 'SWAN', 'DEER', 'AXE', 'GOAT', 'TIGER', 'TURTLE', 'RULER', 'OWL', 'DRILL', 'OCEAN', 'SEA', 'DUCK']",0.0,False,[],,,categorized_16_5,,0.0,,
17,text-recall,,text-recall,68.0,4163547.0,0.0-59.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['CRIMSON', 'LIGHTNING', 'FENCING', 'STEAM', 'GOLF', 'TAN', 'GYMNASTICS', 'OIL', 'RAIN', 'INDIGO', 'SCARLET', 'CLOUDS', 'GALE', 'WATER SOLAR']","['CRIMSON', 'LIGHTNING', 'FENCING', 'STEAM', 'GOLF', 'TAN', 'GYMNASTICS', 'OIL', 'RAIN', 'INDIGO', 'SCARLET', 'CLOUDS', 'GALE']","['FISHING', 'SOLAR', 'WATER']","['FISHING', 'CRIMSON', 'LIGHTNING', 'FENCING', 'STEAM', 'GOLF', 'TAN', 'GYMNASTICS', 'OIL', 'RAIN', 'INDIGO', 'GALE', 'SCARLET', 'CLOUDS', 'SOLAR', 'WATER']",13.0,False,"[10959, 7592, 7207, 4921, 5112, 5568, 10408, 3328, 4864, 5128, 5456, 4232, 4528, 7288]",True,90000.0,categorized_16_0,,,,
18,reminder-none,,reminder,69.0,4164561.0,0.0-60.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['FISHING', 'CRIMSON', 'LIGHTNING', 'FENCING', 'STEAM', 'GOLF', 'TAN', 'GYMNASTICS', 'OIL', 'RAIN', 'INDIGO', 'GALE', 'SCARLET', 'CLOUDS', 'SOLAR', 'WATER']",0.0,False,[],,,categorized_16_0,,0.0,,
19,text-recall,,text-recall,72.0,4538369.0,0.0-63.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['ESSAY', 'LEATHER', 'BLIZZARD', 'HELICOPTER', 'HAIL', 'RAYON', 'TROLLEY', 'MANUSCRIPT', 'LACE', 'JET', 'SNOW']","['ESSAY', 'LEATHER', 'BLIZZARD', 'HELICOPTER', 'HAIL', 'RAYON', 'TROLLEY', 'MANUSCRIPT', 'LACE', 'JET', 'SNOW']","['LETTER', 'SUBWAY', 'WIND', 'PAPER', 'VELVET']","['LETTER', 'ESSAY', 'LEATHER', 'BLIZZARD', 'HELICOPTER', 'HAIL', 'RAYON', 'TROLLEY', 'MANUSCRIPT', 'SUBWAY', 'WIND', 'SNOW', 'LACE', 'JET', 'PAPER', 'VELVET']",11.0,False,"[15619, 7176, 7080, 12808, 6200, 5584, 5856, 13792, 7104, 2632, 2952]",True,90000.0,categorized_16_7,,,,
20,reminder-none,,reminder,73.0,4539389.0,0.0-64.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['LETTER', 'ESSAY', 'LEATHER', 'BLIZZARD', 'HELICOPTER', 'HAIL', 'RAYON', 'TROLLEY', 'MANUSCRIPT', 'SUBWAY', 'WIND', 'SNOW', 'LACE', 'JET', 'PAPER', 'VELVET']",0.0,False,[],,,categorized_16_7,,0.0,,
21,text-recall,,text-recall,76.0,4696170.0,0.0-67.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['LAMP', 'PUNK', 'BELT', 'TROUSERS', 'JACKET', 'STRAWBERRY', 'SYMPHONY', 'CABINET', 'CHERRY', 'SOUL', 'DESK', 'OTTOMAN', 'PLUM', 'SKA', 'SUIT']","['LAMP', 'PUNK', 'BELT', 'TROUSERS', 'JACKET', 'STRAWBERRY', 'SYMPHONY', 'CABINET', 'CHERRY', 'SOUL', 'DESK', 'OTTOMAN', 'PLUM', 'SKA', 'SUIT']",['GRAPE'],"['LAMP', 'PUNK', 'BELT', 'TROUSERS', 'JACKET', 'STRAWBERRY', 'SYMPHONY', 'CABINET', 'CHERRY', 'GRAPE', 'SOUL', 'DESK', 'OTTOMAN', 'SUIT', 'SKA', 'PLUM']",15.0,False,"[9841, 3504, 4040, 5255, 5088, 6057, 6281, 7742, 8192, 5864, 3080, 7264, 4448, 6144, 5568]",True,90000.0,categorized_16_4,,,,
22,reminder-none,,reminder,77.0,4697186.0,0.0-68.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,True,[],[],[],"['LAMP', 'PUNK', 'BELT', 'TROUSERS', 'JACKET', 'STRAWBERRY', 'SYMPHONY', 'CABINET', 'CHERRY', 'GRAPE', 'SOUL', 'DESK', 'OTTOMAN', 'SUIT', 'SKA', 'PLUM']",0.0,False,[],,,categorized_16_4,,0.0,,
23,text-recall,,text-recall,80.0,4850218.0,0.0-71.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,"['ELEVATOR', 'DROUGHT', 'REPORT', 'CLOSET', 'BOOKLET', 'CELLAR', 'TYPHOON', 'KITE', 'PAMPLET', 'NINTENDO', 'CYCLONE', 'ENCYCLOPEDIA', 'MONSOON']","['ELEVATOR', 'DROUGHT', 'REPORT', 'CLOSET', 'BOOKLET', 'CELLAR', 'TYPHOON', 'KITE', 'PAMPHLET', 'CYCLONE', 'ENCYCLOPEDIA', 'MONSOON']","['BLOCKS', 'WING', 'NINTENDO', 'PUZZLE']","['ELEVATOR', 'DROUGHT', 'REPORT', 'CLOSET', 'BOOKLET', 'CELLAR', 'TYPHOON', 'KITE', 'PAMPHLET', 'BLOCKS', 'WING', 'NINTENDO', 'PUZZLE', 'CYCLONE', 'MONSOON', 'ENCYCLOPEDIA']",12.0,False,"[9412, 5264, 4384, 4776, 4264, 5168, 6072, 4952, 10728, 7873, 5287, 10143, 7745]",True,90000.0,categorized_16_8,,,,
24,reminder-none,,reminder,81.0,4851243.0,0.0-72.0,pilot,59,opt-rems-full,debugqdmNN:debuguPdp3,False,[],[],[],"['ELEVATOR', 'DROUGHT', 'REPORT', 'CLOSET', 'BOOKLET', 'CELLAR', 'TYPHOON', 'KITE', 'PAMPHLET', 'BLOCKS', 'WING', 'NINTENDO', 'PUZZLE', 'CYCLONE', 'MONSOON', 'ENCYCLOPEDIA']",0.0,False,[],,,categorized_16_8,,0.0,,
25,total-points,,,,,,,,,debugqdmNN:debuguPdp3,,,,,,,,,,,,,,debugqdmNN:debuguPdp3,139.0
26,survey-text,"{""Q0"":""62f83cb59e7df1ff5d4c5a59""}",survey-text,0.0,2783.0,0.0-0.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,,,,,,,,,,,,,,,
27,text-recall,,text-recall,25.0,633492.0,0.0-27.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['BOOKLET', 'TANKER', 'DROUGHT', 'CYCLONE', 'ENCYCLOPEDIA', 'DESTROYER', 'SLOOP', 'SWIMMING', 'BOXING', 'FENCING', 'HANDBALL', 'FROST']","['BOOKLET', 'TANKER', 'DROUGHT', 'CYCLONE', 'ENCYCLOPEDIA', 'DESTROYER', 'SLOOP', 'SWIMMING', 'BOXING', 'FENCING', 'HANDBALL', 'FROST']","['RAIN', 'BARGE', 'PAMPHLET', 'NOTE']","['RAIN', 'DESTROYER', 'BARGE', 'PAMPHLET', 'SLOOP', 'FROST', 'SWIMMING', 'NOTE', 'ENCYCLOPEDIA', 'HANDBALL', 'FENCING', 'BOXING', 'TANKER', 'CYCLONE', 'DROUGHT', 'BOOKLET']",12.0,False,"[2057, 1294, 1255, 1394, 7342, 5451, 3285, 1860, 1814, 1881, 1433, 17875]",True,60747.0,categorized_16_4,,,,
28,reminder-random,,reminder,26.0,669299.0,0.0-28.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,['PAMPHLET'],['PAMPHLET'],"['RAIN', 'BARGE']","['RAIN', 'DESTROYER', 'BARGE', 'PAMPHLET', 'SLOOP', 'FROST', 'SWIMMING', 'NOTE', 'ENCYCLOPEDIA', 'HANDBALL', 'FENCING', 'BOXING', 'TANKER', 'CYCLONE', 'DROUGHT', 'BOOKLET']",1.0,False,[4800],,,categorized_16_4,NOTE,3000.0,,
29,text-recall,,text-recall,29.0,769975.0,0.0-31.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['LACROSSE', 'CHICKEN', 'WORM', 'BEETLE', 'HAWK', 'FINCH', 'MOSQUITO', 'WASP', 'FIDDLE', 'CLARINET', 'SAILING']","['LACROSSE', 'CHICKEN', 'WORM', 'BEETLE', 'HAWK', 'FINCH', 'MOSQUITO', 'WASP', 'FIDDLE', 'CLARINET', 'SAILING']","['SKIING', 'HARP', 'ACCORDION', 'TRACK', 'SPARROW']","['SAILING', 'FIDDLE', 'CLARINET', 'SKIING', 'HARP', 'ACCORDION', 'FINCH', 'TRACK', 'HAWK', 'MOSQUITO', 'CHICKEN', 'WORM', 'BEETLE', 'WASP', 'SPARROW', 'LACROSSE']",11.0,False,"[1566, 1187, 944, 1263, 992, 1183, 2124, 820, 4187, 1354, 12994]",True,42692.0,categorized_16_3,,,,
30,reminder-worst,,reminder,30.0,824784.0,0.0-32.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,[],[],"['SKIING', 'HARP', 'ACCORDION', 'TRACK']","['SAILING', 'FIDDLE', 'CLARINET', 'SKIING', 'HARP', 'ACCORDION', 'FINCH', 'TRACK', 'HAWK', 'MOSQUITO', 'CHICKEN', 'WORM', 'BEETLE', 'WASP', 'SPARROW', 'LACROSSE']",0.0,False,[],,,categorized_16_3,SPARROW,3000.0,,
31,text-recall,,text-recall,33.0,927679.0,0.0-35.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['TANGO', 'BUNGALOW', 'HUT', 'FALCON', 'OWL', 'MANSION', 'CELLAR', 'ELEVATOR', 'ATTIC', 'PORCH', 'SWING']","['TANGO', 'BUNGALOW', 'HUT', 'FALCON', 'OWL', 'MANSION', 'CELLAR', 'ELEVATOR', 'ATTIC', 'PORCH', 'SWING']","['BALLET', 'DOVE', 'BALLROOM', 'DORMITORY', 'DUCK']","['MANSION', 'PORCH', 'ATTIC', 'CELLAR', 'FALCON', 'SWING', 'BALLET', 'DOVE', 'ELEVATOR', 'OWL', 'BALLROOM', 'DORMITORY', 'HUT', 'BUNGALOW', 'TANGO', 'DUCK']",11.0,False,"[1464, 1488, 818, 4045, 811, 3323, 1399, 1603, 3933, 1370, 1279]",True,47735.0,categorized_16_6,,,,
32,reminder-random,,reminder,34.0,976344.0,0.0-36.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,['BALLROOM'],['BALLROOM'],"['DOVE', 'DORMITORY', 'DUCK']","['MANSION', 'PORCH', 'ATTIC', 'CELLAR', 'FALCON', 'SWING', 'BALLET', 'DOVE', 'ELEVATOR', 'OWL', 'BALLROOM', 'DORMITORY', 'HUT', 'BUNGALOW', 'TANGO', 'DUCK']",1.0,False,[2035],,,categorized_16_6,BALLET,3000.0,,
33,text-recall,,text-recall,37.0,1086588.0,0.0-39.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['ELK', 'BUFFALO', 'FLOOD', 'MONSOON', 'BLIZZARD', 'VALLEY', 'GORGE', 'CANYON', 'FAULT', 'LIZARD', 'TURTLE', 'FLOOD', 'BUFFALO']","['ELK', 'BUFFALO', 'FLOOD', 'MONSOON', 'BLIZZARD', 'VALLEY', 'GORGE', 'CANYON', 'FAULT', 'LIZARD', 'TURTLE']","['SEEDS', 'HOSE', 'SOIL', 'CLIPPERS', 'CLOUDS']","['SEEDS', 'MONSOON', 'HOSE', 'VALLEY', 'SOIL', 'FAULT', 'GORGE', 'LIZARD', 'BUFFALO', 'CLIPPERS', 'BLIZZARD', 'TURTLE', 'CLOUDS', 'CANYON', 'ELK', 'FLOOD']",11.0,False,"[1155, 1523, 950, 3163, 1480, 1257, 1095, 1250, 1116, 5329, 1479, 10958, 9782]",True,51093.0,categorized_16_11,,,,
34,reminder-worst,,reminder,38.0,1132357.0,0.0-40.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,[],[],"['SEEDS', 'HOSE', 'SOIL', 'CLOUDS']","['SEEDS', 'MONSOON', 'HOSE', 'VALLEY', 'SOIL', 'FAULT', 'GORGE', 'LIZARD', 'BUFFALO', 'CLIPPERS', 'BLIZZARD', 'TURTLE', 'CLOUDS', 'CANYON', 'ELK', 'FLOOD']",0.0,False,[],,,categorized_16_11,CLIPPERS,3000.0,,
35,text-recall,,text-recall,41.0,1226660.0,0.0-43.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['TSUNAMI', 'EARTHQUAKE', 'REDWOOD', 'WILLOW', 'OIL', 'WATER', 'STEAM', 'GALE']","['TSUNAMI', 'EARTHQUAKE', 'REDWOOD', 'WILLOW', 'OIL', 'WATER', 'STEAM', 'GALE']","['THUNDER', 'NINTENDO', 'BLOCKS', 'EUCALYPTUS', 'NUCLEAR', 'PUZZLE', 'POPLAR', 'BALL']","['THUNDER', 'OIL', 'EARTHQUAKE', 'GALE', 'REDWOOD', 'NINTENDO', 'BLOCKS', 'EUCALYPTUS', 'NUCLEAR', 'WATER', 'PUZZLE', 'POPLAR', 'BALL', 'STEAM', 'WILLOW', 'TSUNAMI']",8.0,False,"[1757, 2941, 1573, 1677, 2975, 894, 1339, 10681]",True,37490.0,categorized_16_0,,,,
36,reminder-best,,reminder,42.0,1285809.0,0.0-44.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,['BALL'],['BALL'],"['THUNDER', 'NINTENDO', 'BLOCKS', 'EUCALYPTUS', 'NUCLEAR', 'PUZZLE']","['THUNDER', 'OIL', 'EARTHQUAKE', 'GALE', 'REDWOOD', 'NINTENDO', 'BLOCKS', 'EUCALYPTUS', 'NUCLEAR', 'WATER', 'PUZZLE', 'POPLAR', 'BALL', 'STEAM', 'WILLOW', 'TSUNAMI']",1.0,False,[1540],,,categorized_16_0,POPLAR,3000.0,,
37,text-recall,,text-recall,45.0,1396776.0,0.0-47.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,"['CAMEL', 'RIDGE', 'PLATEAU', 'ISLAND', 'LAKE', 'FOX', 'WOLF', 'MOUSE']","['CAMEL', 'RIDGE', 'PLATEAU', 'ISLAND', 'LAKE', 'FOX', 'WOLF', 'MOUSE']","['CART', 'TAXI', 'SAGE', 'GINGER', 'SUBWAY', 'VANILLA', 'JET', 'SUGAR']","['ISLAND', 'CART', 'MOUSE', 'TAXI', 'SAGE', 'GINGER', 'SUBWAY', 'FOX', 'WOLF', 'VANILLA', 'PLATEAU', 'LAKE', 'JET', 'RIDGE', 'SUGAR', 'CAMEL']",8.0,False,"[1351, 1067, 2761, 2182, 849, 1369, 1222, 1569]",True,52355.0,categorized_16_10,,,,
38,reminder-worst,,reminder,46.0,1441036.0,0.0-48.0,pilot,53,opt-rems-full,debugCSKIj:debugx5yMt,False,['TAXI'],['TAXI'],"['SAGE', 'GINGER', 'SUBWAY', 'VANILLA', 'JET', 'SUGAR']","['ISLAND', 'CART', 'MOUSE', 'TAXI', 'SAGE', 'GINGER', 'SUBWAY', 'FOX', 'WOLF', 'VANILLA', 'PLATEAU', 'LAKE', 'JET', 'RIDGE', 'SUGAR', 'CAMEL']",1.0,False,[3709],,,categorized_16_10,CART,3000.0,,
