,type,responses,trial_type,trial_index,time_elapsed,internal_node_id,mode,subject_cond,exp,uniqueid,success,recalled_list,matching_list,missing_list,shown_list,num_correct,instructions,times,correct_sizes,used_time,list_type,reminder,id,total_points
13,text-recall,,text-recall,45.0,1327366.0,0.0-47.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['GOLF', 'SKIING', 'TAN', 'OTTOMAN', 'MAROON', 'GRAY', 'REGGAE', 'TECHNO', 'GOLFING', 'GOLF', 'FOLK', 'INSTRUMENTAL']","['GOLF', 'SKIING', 'TAN', 'OTTOMAN', 'MAROON', 'GRAY', 'REGGAE', 'TECHNO', 'FOLK', 'INSTRUMENTAL']","['BOXING', 'CABINET', 'BROWN', 'DESK', 'SAILING', 'BUREAU']","['SKIING', 'TAN', 'BOXING', 'CABINET', 'BROWN', 'OTTOMAN', 'TECHNO', 'INSTRUMENTAL', 'DESK', 'REGGAE', 'MAROON', 'GRAY', 'FOLK', 'SAILING', 'BUREAU', 'GOLF']",10.0,False,"[1957, 1688, 1024, 1840, 2176, 1633, 6944, 1536, 2015, 2008, 3728, 2769]",True,30692.0,categorized_16_6,,,
14,reminder,,reminder,46.0,1390691.0,0.0-48.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['BOXING', 'CABINET']",['CABINET'],"['BROWN', 'DESK', 'SAILING', 'BUREAU']","['SKIING', 'TAN', 'BOXING', 'CABINET', 'BROWN', 'OTTOMAN', 'TECHNO', 'INSTRUMENTAL', 'DESK', 'REGGAE', 'MAROON', 'GRAY', 'FOLK', 'SAILING', 'BUREAU', 'GOLF']",1.0,False,"[3113, 2120]",,,categorized_16_6,BOXING,,
15,text-recall,,text-recall,49.0,1498011.0,0.0-51.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['BARGE', 'BATTLESHIP', 'SALSA', 'BALLROOM', 'WALTZ', 'BALLET', 'HORNET', 'WASP', 'VELVET', 'CLOTH']","['BARGE', 'BATTLESHIP', 'SALSA', 'BALLROOM', 'WALTZ', 'BALLET', 'HORNET', 'WASP', 'VELVET', 'CLOTH']","['FERRY', 'LACE', 'BUTTERFLY', 'MOSQUITO', 'TANKER', 'LEATHER']","['WALTZ', 'FERRY', 'SALSA', 'WASP', 'BARGE', 'LACE', 'BALLET', 'BUTTERFLY', 'VELVET', 'HORNET', 'MOSQUITO', 'TANKER', 'CLOTH', 'LEATHER', 'BALLROOM', 'BATTLESHIP']",10.0,False,"[1965, 4218, 1688, 1727, 1585, 2983, 2145, 2294, 11521, 1440]",True,51510.0,categorized_16_1,,,
16,reminder,,reminder,50.0,1540543.0,0.0-52.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,['LEATHER'],[],"['FERRY', 'LACE', 'BUTTERFLY', 'MOSQUITO', 'TANKER']","['WALTZ', 'FERRY', 'SALSA', 'WASP', 'BARGE', 'LACE', 'BALLET', 'BUTTERFLY', 'VELVET', 'HORNET', 'MOSQUITO', 'TANKER', 'CLOTH', 'LEATHER', 'BALLROOM', 'BATTLESHIP']",0.0,False,[3523],,,categorized_16_1,LEATHER,,
17,text-recall,,text-recall,53.0,1633801.0,0.0-55.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['WRESTLING', 'FENCING', 'BLUEGRASS', 'SAGE', 'GINGER', 'RUGBY', 'OWL', 'CROW', 'ALTERNATIVE']","['WRESTLING', 'FENCING', 'BLUEGRASS', 'SAGE', 'GINGER', 'RUGBY', 'OWL', 'CROW', 'ALTERNATIVE']","['CANARY', 'BLUES', 'VANILLA', 'OPERA', 'HANDBALL', 'SUGAR', 'PENGUIN']","['CANARY', 'BLUES', 'VANILLA', 'RUGBY', 'FENCING', 'GINGER', 'SAGE', 'ALTERNATIVE', 'OWL', 'OPERA', 'HANDBALL', 'CROW', 'SUGAR', 'PENGUIN', 'BLUEGRASS', 'WRESTLING']",9.0,False,"[2992, 1512, 4696, 4016, 1696, 4888, 1937, 1472, 7039]",True,38856.0,categorized_16_0,,,
18,reminder,,reminder,54.0,1689073.0,0.0-56.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,['CANARY'],[],"['BLUES', 'VANILLA', 'OPERA', 'HANDBALL', 'SUGAR', 'PENGUIN']","['CANARY', 'BLUES', 'VANILLA', 'RUGBY', 'FENCING', 'GINGER', 'SAGE', 'ALTERNATIVE', 'OWL', 'OPERA', 'HANDBALL', 'CROW', 'SUGAR', 'PENGUIN', 'BLUEGRASS', 'WRESTLING']",0.0,False,[2094],,,categorized_16_0,CANARY,,
19,text-recall,,text-recall,57.0,1831904.0,0.0-59.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['TYHOON', 'TSUNAMI', 'CYCLONE', 'CEDAR', 'ELM', 'FIR', 'ELK', 'THUNDER']","['TYPHOON', 'TSUNAMI', 'CYCLONE', 'CEDAR', 'ELM', 'FIR', 'THUNDER']","['STEAM', 'NUCLEAR', 'ELECTRICITY', 'SYMPHONY', 'SOLAR', 'SOUL', 'SKA', 'GOSPEL', 'EUCALYPTUS']","['TYPHOON', 'STEAM', 'NUCLEAR', 'FIR', 'ELECTRICITY', 'ELM', 'CEDAR', 'SYMPHONY', 'SOLAR', 'SOUL', 'SKA', 'CYCLONE', 'GOSPEL', 'TSUNAMI', 'THUNDER', 'EUCALYPTUS']",7.0,False,"[7582, 3273, 4383, 1321, 1095, 832, 1696, 3864]",True,88782.0,categorized_16_5,,,
20,reminder,,reminder,58.0,1855899.0,0.0-60.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,['STEAM'],[],"['NUCLEAR', 'ELECTRICITY', 'SYMPHONY', 'SOLAR', 'SOUL', 'SKA', 'GOSPEL', 'EUCALYPTUS']","['TYPHOON', 'STEAM', 'NUCLEAR', 'FIR', 'ELECTRICITY', 'ELM', 'CEDAR', 'SYMPHONY', 'SOLAR', 'SOUL', 'SKA', 'CYCLONE', 'GOSPEL', 'TSUNAMI', 'THUNDER', 'EUCALYPTUS']",0.0,False,[6244],,,categorized_16_5,STEAM,,
21,text-recall,,text-recall,61.0,1952715.0,0.0-63.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,"['PIG', 'WOLF', 'PENCIL', 'JOURNAL', 'PAPER', 'RULER', 'NOTEPAD', 'DEER', 'WOLF', 'SHARK', 'DRILL']","['PIG', 'WOLF', 'PENCIL', 'JOURNAL', 'PAPER', 'RULER', 'DEER', 'SHARK', 'DRILL']","['BOLT', 'CARP', 'NOTE', 'GOAT', 'PERCH', 'CATFISH', 'ENCYCLOPEDIA']","['BOLT', 'DEER', 'SHARK', 'PAPER', 'CARP', 'PENCIL', 'JOURNAL', 'NOTE', 'GOAT', 'PERCH', 'CATFISH', 'ENCYCLOPEDIA', 'RULER', 'WOLF', 'DRILL', 'PIG']",9.0,False,"[1532, 1728, 1911, 5185, 1534, 3786, 2007, 12177, 3079, 1137, 1472]",True,38747.0,categorized_16_3,,,
22,reminder,,reminder,62.0,2008238.0,0.0-64.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,False,[],[],"['BOLT', 'CARP', 'NOTE', 'GOAT', 'PERCH', 'CATFISH']","['BOLT', 'DEER', 'SHARK', 'PAPER', 'CARP', 'PENCIL', 'JOURNAL', 'NOTE', 'GOAT', 'PERCH', 'CATFISH', 'ENCYCLOPEDIA', 'RULER', 'WOLF', 'DRILL', 'PIG']",0.0,False,[],,,categorized_16_3,ENCYCLOPEDIA,,
23,survey-text,"{""Q0"":""""}",survey-text,65.0,2022649.0,0.0-67.0,pilot,4,expAv3,debugjHiAt:debugtsSZL,,,,,,,,,,,,,,
24,total-points,,,,,,,,,debugjHiAt:debugtsSZL,,,,,,,,,,,,,debugjHiAt:debugtsSZL,92.0
25,survey-text,"{""Q0"":""603e66c867d4bcef6f7af649""}",survey-text,0.0,12578.0,0.0-0.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,,,,,,,,,,,,,,
26,text-recall,,text-recall,37.0,816073.0,0.0-27.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['GOSPEL', 'ANTILOPE', 'BEACH', 'SHEEP', 'EUCALYPTUS', 'ANTILOPE', 'WILLOW', 'SQUIRREL', 'POP', 'SYMPHONY']","['GOSPEL', 'SHEEP', 'EUCALYPTUS', 'WILLOW', 'SQUIRREL', 'POP', 'SYMPHONY']","['PLAIN', 'GLACIER', 'BEECH', 'ANTELOPE', 'VOLCANO', 'POPLAR', 'STREAM', 'FOX', 'ALTERNATIVE']","['PLAIN', 'GLACIER', 'BEECH', 'SHEEP', 'EUCALYPTUS', 'ANTELOPE', 'WILLOW', 'SQUIRREL', 'VOLCANO', 'POP', 'SYMPHONY', 'POPLAR', 'STREAM', 'FOX', 'ALTERNATIVE', 'GOSPEL']",7.0,False,"[3159, 2058, 9469, 1099, 3971, 1318, 2349, 4470, 5723, 3206]",True,38226.0,categorized_16_8,,,
27,reminder,,reminder,38.0,872154.0,0.0-28.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['POPLAR', 'STREAM', 'FOX', 'ALTERNATIVE', '', '']","['STREAM', 'FOX', 'ALTERNATIVE']","['PLAIN', 'GLACIER', 'BEECH', 'ANTELOPE', 'VOLCANO']","['PLAIN', 'GLACIER', 'BEECH', 'SHEEP', 'EUCALYPTUS', 'ANTELOPE', 'WILLOW', 'SQUIRREL', 'VOLCANO', 'POP', 'SYMPHONY', 'POPLAR', 'STREAM', 'FOX', 'ALTERNATIVE', 'GOSPEL']",3.0,False,"[2281, 6223, 809, 5035, 8571, 16901]",,,categorized_16_8,POPLAR,,
28,text-recall,,text-recall,41.0,957841.0,0.0-31.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['WOLF', 'PIG', 'MOOSE', 'ATTIC', 'BLIZZARD', 'RAIN', 'FLOOD']","['WOLF', 'PIG', 'MOOSE', 'ATTIC', 'BLIZZARD', 'RAIN', 'FLOOD']","['WING', 'VALLEY', 'BEAR', 'FROST', 'FLOOR', 'ROOM', 'OCEAN', 'GORGE', 'LAKE']","['WOLF', 'WING', 'VALLEY', 'BLIZZARD', 'BEAR', 'FLOOD', 'FROST', 'FLOOR', 'ROOM', 'OCEAN', 'GORGE', 'MOOSE', 'PIG', 'ATTIC', 'RAIN', 'LAKE']",7.0,False,"[2156, 1149, 1029, 1169, 2902, 1254, 1229]",True,13294.0,categorized_16_9,,,
29,reminder,,reminder,42.0,1038479.0,0.0-32.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['BEAR', 'WING', '']",['BEAR'],"['VALLEY', 'FROST', 'FLOOR', 'ROOM', 'OCEAN', 'GORGE', 'LAKE']","['WOLF', 'WING', 'VALLEY', 'BLIZZARD', 'BEAR', 'FLOOD', 'FROST', 'FLOOR', 'ROOM', 'OCEAN', 'GORGE', 'MOOSE', 'PIG', 'ATTIC', 'RAIN', 'LAKE']",1.0,False,"[1630, 800, 35559]",,,categorized_16_9,WING,,
30,text-recall,,text-recall,45.0,1172239.0,0.0-35.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['CLIFF', 'BOLT', 'RIVER', 'DRILL', 'WATERFALL', 'PENCIL', 'FIDDLE', 'HARMONICA', 'SPARROW', 'AXE', 'SWAN', 'DUCK', '', '', '', '', '', '', '']","['CLIFF', 'BOLT', 'RIVER', 'DRILL', 'WATERFALL', 'PENCIL', 'FIDDLE', 'HARMONICA', 'SPARROW', 'AXE', 'SWAN', 'DUCK']","['RIDGE', 'CLARINET', 'VULTURE', 'BANJO']","['RIDGE', 'CLARINET', 'CLIFF', 'BOLT', 'RIVER', 'DRILL', 'WATERFALL', 'PENCIL', 'FIDDLE', 'HARMONICA', 'SPARROW', 'AXE', 'DUCK', 'VULTURE', 'BANJO', 'SWAN']",12.0,False,"[12146, 2876, 1883, 3043, 4115, 2228, 4604, 2952, 2712, 3761, 1353, 999, 13795, 1483, 165, 180, 170, 184, 170]",True,60326.0,categorized_16_7,,,
31,reminder,,reminder,46.0,1206207.0,0.0-36.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['RIDGE', '', '']",[],"['CLARINET', 'VULTURE', 'BANJO']","['RIDGE', 'CLARINET', 'CLIFF', 'BOLT', 'RIVER', 'DRILL', 'WATERFALL', 'PENCIL', 'FIDDLE', 'HARMONICA', 'SPARROW', 'AXE', 'DUCK', 'VULTURE', 'BANJO', 'SWAN']",0.0,False,"[2276, 276, 21264]",,,categorized_16_7,RIDGE,,
32,text-recall,,text-recall,49.0,1301502.0,0.0-39.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['TRACKBOAT', 'STEAMBOAT', 'BUNGALOW', 'WRESTLING']","['STEAMBOAT', 'BUNGALOW', 'WRESTLING']","['TRACK', 'DORMITORY', 'MANSION', 'FINCH', 'DESTROYER', 'COTTAGE', 'HANDBALL', 'BATTLESHIP', 'CROW', 'PEACOCK', 'FALCON', 'FERRY', 'SWIMMING']","['TRACK', 'DORMITORY', 'BUNGALOW', 'STEAMBOAT', 'MANSION', 'FINCH', 'DESTROYER', 'COTTAGE', 'HANDBALL', 'BATTLESHIP', 'CROW', 'PEACOCK', 'FALCON', 'WRESTLING', 'FERRY', 'SWIMMING']",3.0,False,"[4726, 2892, 3521, 6602]",True,38779.0,categorized_16_2,,,
33,reminder,,reminder,50.0,1357162.0,0.0-40.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['SWIMMING', '']",[],"['TRACK', 'DORMITORY', 'MANSION', 'FINCH', 'DESTROYER', 'COTTAGE', 'HANDBALL', 'BATTLESHIP', 'CROW', 'PEACOCK', 'FALCON', 'FERRY']","['TRACK', 'DORMITORY', 'BUNGALOW', 'STEAMBOAT', 'MANSION', 'FINCH', 'DESTROYER', 'COTTAGE', 'HANDBALL', 'BATTLESHIP', 'CROW', 'PEACOCK', 'FALCON', 'WRESTLING', 'FERRY', 'SWIMMING']",0.0,False,"[4011, 25073]",,,categorized_16_2,SWIMMING,,
34,text-recall,,text-recall,53.0,1468712.0,0.0-43.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['ISLAND', 'BEETLE', 'BUTTERFLY', 'CANYON', 'NUCLEAR', 'MOTH', 'WASPS', 'WASP', 'ELECTRICITY', 'BATHROOM']","['ISLAND', 'BEETLE', 'BUTTERFLY', 'CANYON', 'NUCLEAR', 'WASP', 'ELECTRICITY', 'BATHROOM']","['ROOF', 'SEA', 'CEILING', 'STEAM', 'CAVE', 'WORM', 'WATER', 'CELLAR']","['BEETLE', 'BUTTERFLY', 'ROOF', 'WASP', 'ELECTRICITY', 'SEA', 'ISLAND', 'BATHROOM', 'CEILING', 'STEAM', 'NUCLEAR', 'CAVE', 'WORM', 'WATER', 'CANYON', 'CELLAR']",8.0,False,"[1872, 1363, 1824, 3667, 9755, 14404, 2642, 1883, 6328, 3056]",True,48146.0,categorized_16_0,,,
35,reminder,,reminder,54.0,1515204.0,0.0-44.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['STEAM', '']",[],"['ROOF', 'SEA', 'CEILING', 'CAVE', 'WORM', 'WATER', 'CELLAR']","['BEETLE', 'BUTTERFLY', 'ROOF', 'WASP', 'ELECTRICITY', 'SEA', 'ISLAND', 'BATHROOM', 'CEILING', 'STEAM', 'NUCLEAR', 'CAVE', 'WORM', 'WATER', 'CANYON', 'CELLAR']",0.0,False,"[1940, 22429]",,,categorized_16_0,STEAM,,
36,text-recall,,text-recall,57.0,1616806.0,0.0-47.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['CHERRY', 'GINGER', 'PLUM', 'SUNSHINE', 'BLOCKS', 'FIG', 'MANGO~']","['CHERRY', 'GINGER', 'PLUM', 'SUNSHINE', 'BLOCKS', 'FIG']","['BALL', 'THUNDER', 'VANILLA', 'SUGAR', 'SAGE', 'KITE', 'MANGO', 'MONSOON', 'FOG', 'PUZZLE']","['CHERRY', 'PLUM', 'GINGER', 'BALL', 'THUNDER', 'SUNSHINE', 'BLOCKS', 'VANILLA', 'SUGAR', 'SAGE', 'KITE', 'MANGO', 'MONSOON', 'FOG', 'FIG', 'PUZZLE']",6.0,False,"[5435, 2731, 3801, 1953, 2397, 1963, 8557]",False,28066.0,categorized_16_1,,,
37,reminder,,reminder,58.0,1682748.0,0.0-48.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['KITE', '', '', '', '', '', 'KITE']",[],"['BALL', 'THUNDER', 'VANILLA', 'SUGAR', 'SAGE', 'MANGO', 'MONSOON', 'FOG', 'PUZZLE']","['CHERRY', 'PLUM', 'GINGER', 'BALL', 'THUNDER', 'SUNSHINE', 'BLOCKS', 'VANILLA', 'SUGAR', 'SAGE', 'KITE', 'MANGO', 'MONSOON', 'FOG', 'FIG', 'PUZZLE']",0.0,False,"[2948, 49036, 190, 165, 204, 200, 2797]",,,categorized_16_1,KITE,,
38,text-recall,,text-recall,61.0,1762979.0,0.0-51.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['ENCYCOLPEDIA', 'RABBIT', 'TIGER', 'PAPER', 'MANUSCRIPT', 'TRAIN', 'PAPER', 'LIZARD']","['ENCYCLOPEDIA', 'RABBIT', 'TIGER', 'PAPER', 'MANUSCRIPT', 'TRAIN', 'LIZARD']","['KITCHEN', 'MOTORCYCLE', 'JET', 'TURTLE', 'ESSAY', 'LOBBY', 'TRACTOR', 'ENTRANCE', 'ELEVATOR']","['KITCHEN', 'MANUSCRIPT', 'RABBIT', 'MOTORCYCLE', 'JET', 'TURTLE', 'ESSAY', 'ENCYCLOPEDIA', 'LOBBY', 'TRACTOR', 'PAPER', 'TIGER', 'ENTRANCE', 'LIZARD', 'TRAIN', 'ELEVATOR']",7.0,False,"[6649, 2158, 1120, 968, 1598, 2788, 1144, 1812]",True,22938.0,categorized_16_5,,,
39,reminder,,reminder,62.0,1834129.0,0.0-52.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['ESSAY', '']",[],"['KITCHEN', 'MOTORCYCLE', 'JET', 'TURTLE', 'LOBBY', 'TRACTOR', 'ENTRANCE', 'ELEVATOR']","['KITCHEN', 'MANUSCRIPT', 'RABBIT', 'MOTORCYCLE', 'JET', 'TURTLE', 'ESSAY', 'ENCYCLOPEDIA', 'LOBBY', 'TRACTOR', 'PAPER', 'TIGER', 'ENTRANCE', 'LIZARD', 'TRAIN', 'ELEVATOR']",0.0,False,"[3079, 34692]",,,categorized_16_5,ESSAY,,
40,text-recall,,text-recall,65.0,2022570.0,0.0-55.0,pilot,9,expAv3,debugqhzqd:debugDUpJ5,False,"['PITCHFORK', 'HOSE', 'LACE', 'LINEN', 'CLOTH', 'CABINET']","['PITCHFORK', 'HOSE', 'LACE', 'LINEN', 'CLOTH', 'CABINET']","['OTTOMAN', 'DROUGHT', 'GALE', 'CYCLONE', 'BUCKET', 'EARTHQUAKE', 'DESK', 'CLIPPERS', 'FELT', 'LAMP']","['OTTOMAN', 'HOSE', 'DROUGHT', 'GALE', 'CYCLONE', 'BUCKET', 'PITCHFORK', 'LACE', 'LINEN', 'EARTHQUAKE', 'DESK', 'CLIPPERS', 'FELT', 'LAMP', 'CLOTH', 'CABINET']",6.0,False,"[2692, 749, 749, 1099, 1555, 9137]",True,17125.0,categorized_16_3,,,
